URL,Ignored (Yes/No),Landing page (Yes/No),Tag status
jetlisans.com/checkout/order-received/607280/,No,No,Not tagged
jetlisans.com/indir/,No,No,Not tagged
jetlisans.com/my-account/siparisi-goruntule/87955/,No,No,Not tagged
jetlisans.com/sikca-sorulan-sorular/,No,No,Not tagged
jetlisans.com/urun-kategori/server-yazilim-lisanslari/,No,No,Not tagged
jetlisans.com/urun/kaspersky-premium-total-security/,No,No,Not tagged
jetlisans.com/urun/kaspersky-total-security-1-kullanici-1-yil/,No,No,Not tagged
jetlisans.com/urun/mcafee-antivirus-plus-2019/,No,No,Not tagged
jetlisans.com/urun/office-2019-project-lisans-dijital-lisans/,No,No,Not tagged
jetlisans.com/urun/office-2021-professional-plus-bind-key-maile-kayit/,No,No,Not tagged
jetlisans.com/urun/visio-2019-dijital-retail-lisans-anahtari/,No,No,Not tagged
jetlisans.com/urun/windows-10-pro-ve-office-2019-pro-plus-dijital-lisans-anahtari-key/,No,No,Not tagged
jetlisans.com/urun/windows-7-professional-retail-dijital-lisans-anahtari/,No,No,Not tagged
jetlisans.com/urun/windows-8-1-pro-retail-dijital-lisans-anahtari/,No,No,Not tagged
jetlisans.com/urun/windows-8-retail-dijital-lisans-anahtari/,No,No,Not tagged
jetlisans.com/urun/windows-server-2012-r2-datacenter-dijital-lisans/,No,No,Not tagged
jetlisans.com/urun/windows-server-2012-r2-standard-dijital-lisans/,No,No,Not tagged
jetlisans.com/urun/windows-server-2016-datacenter-dijital-lisans/,No,No,Not tagged
jetlisans.com/wp-login.php,No,No,Not tagged
jetlisans.com/urun/office-2021-home-and-business-mac-lisans-key/,No,No,Tagged
jetlisans.com/checkout/order-received/607240/,No,No,Tagged
jetlisans.com/my-account/siparisi-goruntule/607170/,No,No,Tagged
jetlisans.com/checkout/order-received/607285/,No,No,Tagged
jetlisans.com/gizlilik-ve-guvenlik/,No,No,Tagged
jetlisans.com/urun/windows-11-pro-lisans-key/comment-page-8/,No,No,Tagged
jetlisans.com/,No,No,Tagged
jetlisans.com/urun/windows-11-pro-lisans-key/,No,Yes,Tagged
jetlisans.com/urun/office-2016-pro-plus-dijital-lisans-anahtari-key-3264-bit-hemen-teslim/,No,Yes,Tagged
jetlisans.com/urun/office-2021-professional-plus-retail-dijital-lisans-key/,No,Yes,Tagged
jetlisans.com/urun-kategori/office-yazilim-lisanslari/,No,No,Tagged
jetlisans.com/urun/windows-11-pro-oem-lisans-key/,No,Yes,Tagged
jetlisans.com/checkout/odeme-yap/607285/,No,No,Tagged
jetlisans.com/urun/windows-11-pro-lisans-key/comment-page-1/,No,Yes,Tagged
jetlisans.com/shop/page/2/,No,No,Tagged
jetlisans.com/checkout/order-received/607265/,No,No,Tagged
jetlisans.com/checkout/,No,No,Tagged
jetlisans.com/checkout/order-received/607283/,No,No,Tagged
jetlisans.com/urun/office-365-lisans-hesabi-satin-al/,No,Yes,Tagged
jetlisans.com/checkout/odeme-yap/607245/,No,No,Tagged
jetlisans.com/my-account/edit-address/,No,No,Tagged
jetlisans.com/my-account/edit-account/,No,No,Tagged
